medicine,link
"Avastin 400mg Injection","https://www.1mg.com/search/all?name=Avastin+400mg+Injection"
"Augmentin 625 Duo Tablet","https://www.1mg.com/drugs/augmentin-625-duo-tablet-138629"
"Azithral 500 Tablet","https://www.1mg.com/search/all?name=Azithral+500+Tablet"
"Ascoril LS Syrup","https://www.1mg.com/search/all?name=Ascoril+LS+Syrup"
"Aciloc 150 Tablet","https://www.1mg.com/search/all?name=Aciloc+150+Tablet"
"Allegra 120mg Tablet","https://www.1mg.com/search/all?name=Allegra+120mg+Tablet"
"Avil 25 Tablet","https://www.1mg.com/search/all?name=Avil+25+Tablet"
"Aricep 5 Tablet","https://www.1mg.com/search/all?name=Aricep+5+Tablet"
"Amoxyclav 625 Tablet","https://www.1mg.com/search/all?name=Amoxyclav+625+Tablet"
"Atarax 25mg Tablet","https://www.1mg.com/search/all?name=Atarax+25mg+Tablet"
"Azee 500 Tablet","https://www.1mg.com/search/all?name=Azee+500+Tablet"
"Anovate Cream","https://www.1mg.com/search/all?name=Anovate+Cream"
"Allegra-M Tablet","https://www.1mg.com/search/all?name=Allegra-M+Tablet"
"Ascoril D Plus Syrup Sugar Free","https://www.1mg.com/search/all?name=Ascoril+D+Plus+Syrup+Sugar+Free"
"Alex Syrup","https://www.1mg.com/drugs/alex-syrup-63175"
"Armotraz Tablet","https://www.1mg.com/drugs/armotraz-tablet-45480"
"Augmentin Duo Oral Suspension","https://www.1mg.com/search/all?name=Augmentin+Duo+Oral+Suspension"
"Albendazole 400mg Tablet","https://www.1mg.com/search/all?name=Albendazole+400mg+Tablet"
"Arkamin Tablet","https://www.1mg.com/search/all?name=Arkamin+Tablet"
"Allegra 180mg Tablet","https://www.1mg.com/search/all?name=Allegra+180mg+Tablet"
